epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.17,0.54238,1.8279,1.0685,0.76708,0.76153,0.82609,0.67737,0.57608,0.80679,0.90817,0.00332988,0.00332988,0.00332988
2,806.643,0.47099,0.86864,1.00267,0.86267,0.88361,0.92869,0.79189,0.50431,0.55753,0.87062,0.00653128,0.00653128,0.00653128
3,1194.5,0.49017,0.7245,1.00765,0.65882,0.70405,0.74138,0.58142,0.62392,1.09365,0.99199,0.00960069,0.00960069,0.00960069
4,1577.43,0.48966,0.66831,1.01069,0.86967,0.84173,0.90939,0.77427,0.53367,0.52969,0.89172,0.009406,0.009406,0.009406
5,2025.64,0.45222,0.59262,0.99377,0.88717,0.90744,0.94118,0.8166,0.48648,0.44698,0.86822,0.009208,0.009208,0.009208
6,2247.88,0.42716,0.53692,0.98212,0.92162,0.91345,0.95232,0.8259,0.50928,0.42599,0.89668,0.00901,0.00901,0.00901
7,2479.36,0.412,0.50549,0.97421,0.94135,0.93519,0.96718,0.86511,0.44839,0.35046,0.8326,0.008812,0.008812,0.008812
8,2707.26,0.40084,0.48594,0.9699,0.95007,0.95211,0.97552,0.87144,0.44344,0.34712,0.81973,0.008614,0.008614,0.008614
9,2941.16,0.39361,0.46883,0.96563,0.94737,0.95564,0.9727,0.87209,0.4374,0.32366,0.82021,0.008416,0.008416,0.008416
10,3171.62,0.38816,0.44893,0.96307,0.95284,0.95918,0.97813,0.87972,0.44468,0.32576,0.83528,0.008218,0.008218,0.008218
11,3402.2,0.37931,0.43759,0.9592,0.95612,0.95478,0.97705,0.88493,0.43881,0.33621,0.83328,0.00802,0.00802,0.00802
12,3633.5,0.3719,0.42402,0.95797,0.95344,0.95923,0.97783,0.88933,0.42907,0.31536,0.82888,0.007822,0.007822,0.007822
13,3861.76,0.36887,0.41532,0.95509,0.95568,0.95872,0.97664,0.89082,0.4268,0.31816,0.8068,0.007624,0.007624,0.007624
14,4093.04,0.36683,0.40796,0.95442,0.95945,0.95955,0.97805,0.8923,0.41939,0.30875,0.81091,0.007426,0.007426,0.007426
15,4323.42,0.36129,0.40108,0.94963,0.96602,0.95829,0.97764,0.89308,0.42071,0.3166,0.80386,0.007228,0.007228,0.007228
16,4560,0.35619,0.39183,0.94884,0.96295,0.96119,0.97781,0.89376,0.39577,0.28501,0.77739,0.00703,0.00703,0.00703
17,4795.03,0.35433,0.38292,0.9478,0.96134,0.95828,0.9772,0.90101,0.39683,0.28364,0.78432,0.006832,0.006832,0.006832
18,5030.51,0.34846,0.37327,0.94514,0.96096,0.9684,0.98008,0.90405,0.3997,0.29409,0.79253,0.006634,0.006634,0.006634
19,5266.75,0.3468,0.37278,0.94388,0.96229,0.96224,0.97954,0.90177,0.39815,0.29679,0.78657,0.006436,0.006436,0.006436
20,5502.7,0.3425,0.3657,0.94202,0.96282,0.96055,0.97791,0.9034,0.39662,0.29613,0.78644,0.006238,0.006238,0.006238
21,5741.91,0.34024,0.35864,0.94046,0.96631,0.9609,0.97923,0.90569,0.38922,0.28291,0.77063,0.00604,0.00604,0.00604
22,5977.04,0.33743,0.35571,0.94062,0.96393,0.96578,0.97877,0.90534,0.39092,0.28468,0.78166,0.005842,0.005842,0.005842
23,6215.74,0.3357,0.3538,0.94032,0.95961,0.97195,0.98024,0.90687,0.38177,0.27212,0.76785,0.005644,0.005644,0.005644
24,6453.25,0.33329,0.35117,0.93835,0.97196,0.96474,0.98093,0.90768,0.38293,0.26792,0.77154,0.005446,0.005446,0.005446
25,6691.47,0.32862,0.3387,0.93575,0.96769,0.96692,0.98005,0.90922,0.37241,0.25519,0.7595,0.005248,0.005248,0.005248
26,6928.04,0.32519,0.33661,0.9351,0.97096,0.96615,0.98043,0.91008,0.37377,0.261,0.75805,0.00505,0.00505,0.00505
27,7164.43,0.32595,0.33222,0.93564,0.97025,0.96727,0.98089,0.91142,0.37565,0.26209,0.76141,0.004852,0.004852,0.004852
28,7404.27,0.32353,0.32594,0.93291,0.96814,0.96886,0.9814,0.91227,0.3755,0.26087,0.76049,0.004654,0.004654,0.004654
29,7641.13,0.32231,0.32351,0.93108,0.96661,0.96941,0.98121,0.91218,0.37767,0.26509,0.76018,0.004456,0.004456,0.004456
30,7881.44,0.3178,0.31983,0.93096,0.96478,0.97036,0.98087,0.91114,0.37741,0.26557,0.75867,0.004258,0.004258,0.004258
31,8119.17,0.31709,0.31501,0.93193,0.97065,0.9647,0.98113,0.91123,0.37921,0.26751,0.76235,0.00406,0.00406,0.00406
32,8356.47,0.31065,0.311,0.92706,0.96967,0.96522,0.98151,0.91237,0.37817,0.2669,0.7614,0.003862,0.003862,0.003862
33,8590.34,0.31123,0.30686,0.92828,0.96912,0.96712,0.98124,0.91246,0.37704,0.26651,0.75952,0.003664,0.003664,0.003664
34,8825.74,0.30745,0.30164,0.92549,0.96766,0.96794,0.98096,0.91284,0.37615,0.26584,0.75832,0.003466,0.003466,0.003466
35,9063.63,0.30559,0.29867,0.92485,0.96425,0.9717,0.98083,0.91272,0.3737,0.2643,0.75622,0.003268,0.003268,0.003268
36,9299.3,0.29989,0.2921,0.92372,0.9643,0.97173,0.98115,0.91265,0.37464,0.2664,0.7589,0.00307,0.00307,0.00307
37,9533.2,0.30171,0.28883,0.92513,0.96488,0.97171,0.98136,0.91353,0.37499,0.26686,0.75972,0.002872,0.002872,0.002872
38,9770.5,0.29763,0.28391,0.92251,0.96508,0.97132,0.98118,0.91316,0.37514,0.2669,0.7603,0.002674,0.002674,0.002674
